source_member,area_earth
ACCESS-CM2_r1i1p1f1,510064471909897.25
ACCESS-ESM1-5_r1i1p1f1,510064471909897.25
CMCC-CM2-SR5_r1i1p1f1,510064471909897.25
CMCC-ESM2_r1i1p1f1,510064471909897.25
CNRM-CM6-1_r1i1p1f2,510064471909897.25
CNRM-ESM2-1_r1i1p1f2,510064471909897.25
CanESM5_r1i1p1f1,510064471909897.25
EC-Earth3-Veg-LR_r1i1p1f1,510064471909897.25
EC-Earth3-Veg_r1i1p1f1,510064471909897.25
EC-Earth3_r1i1p1f1,510064471909897.25
GISS-E2-1-G_r1i1p5f1,510064471909897.25
GISS-E2-1-H_r1i1p1f2,510064471909897.25
IPSL-CM6A-LR_r1i1p1f1,510064471909897.25
MIROC6_r1i1p1f1,510064471909897.25
MPI-ESM1-2-HR_r1i1p1f1,510064471909897.25
MPI-ESM1-2-LR_r1i1p1f1,510064471909897.25
MRI-ESM2-0_r1i1p1f1,510064471909897.25
NorESM2-LM_r1i1p1f1,510064471909897.25
NorESM2-MM_r1i1p1f1,510064471909897.25
UKESM1-0-LL_r1i1p1f2,510064471909897.25
